url_tail,timeFrom,timeTo
/deal/20103609,19:00,00:30
/deal/23458145,13:00,18:00
/deal/20103902,19:00,00:30
/deal/22219004,10:00,19:00
/deal/22779983,13:00,18:00
/deal/24434710,13:00,17:00
/deal/20103794,19:00,00:30
/deal/24434911,19:00,02:00
/deal/19477986,10:00,19:00
/deal/20335766,12:00,18:00
/deal/20335766,18:00,03:00
/deal/20103671,19:00,00:30
/deal/19477912,10:00,19:00
/deal/25763188,13:00,18:00
/deal/25762818,13:00,18:00
/deal/20104146,19:00,00:30
/deal/25762873,13:00,18:00
/deal/19478038,10:00,19:00
/deal/25763110,13:00,18:00
/deal/27467294,19:00,00:00
/deal/27467374,19:00,00:00
/deal/27467430,19:00,00:00
/deal/27101979,11:00,18:00
/deal/27101979,18:00,00:00
/deal/27101979,00:00,06:00
/deal/27180926,11:00,19:00
/deal/27180926,18:00,00:00
/deal/27180926,00:00,06:00
/deal/27466501,19:00,00:00
/deal/27465504,13:00,19:00
/deal/27465504,19:00,00:00
/deal/27465504,00:00,06:00
/deal/26064076,10:00,18:00
/deal/26372190,10:00,17:00
/deal/26372190,17:00,02:00
/deal/26372190,23:00,06:00
/deal/27103207,11:00,18:00
/deal/27103207,18:00,00:00
/deal/27103207,00:00,06:00
/deal/27060616,11:00,18:00
/deal/27060616,18:00,00:00
/deal/27060616,23:00,06:00
/deal/26372235,17:00,02:00
/deal/26372235,23:00,06:00
/deal/26694498,19:00,00:00
/deal/26694498,00:00,06:00
/deal/26694692,19:00,00:00
/deal/26694692,00:00,06:00
/deal/26694778,19:00,00:00
/deal/26694778,00:00,06:00
/deal/26694909,19:00,00:00
/deal/26694909,00:00,06:00
/deal/26694394,19:00,00:00
/deal/26694394,00:00,06:00
/deal/26602077,13:00,19:00
/deal/26602077,19:00,00:00
/deal/26602077,00:00,06:00
/deal/26694190,19:00,00:00
/deal/26694190,00:00,06:00
/deal/23127880,11:00,19:00
/deal/23127880,19:00,02:00
/deal/23127880,23:00,06:00
/deal/24514520,12:00,19:00
/deal/24514520,19:00,06:00
/deal/24514520,05:00,06:00
/deal/21386365,13:00,06:00
/deal/24521011,11:00,15:00
/deal/24521011,17:00,21:00
/deal/18916447,12:00,18:00
/deal/18916447,18:00,00:00
/deal/18916447,00:00,06:00
/deal/21386116,13:00,17:00
/deal/21386116,17:00,06:00
/deal/19402048,12:00,20:00
/deal/19402048,17:00,06:00
/deal/14068854,00:00,17:00
/deal/14068854,17:00,02:00
/deal/14068854,23:00,06:00
/deal/24606612,10:00,06:00
/deal/18382513,13:00,19:00
/deal/18382513,19:00,00:00
/deal/18382513,00:00,06:00
/deal/6114951,12:00,19:00
/deal/6114951,19:00,00:00
/deal/6114951,00:00,06:00
/deal/24643378,11:00,15:00
/deal/24643378,17:00,21:00
/deal/22218122,13:00,18:00
/deal/22218122,18:00,00:00
/deal/22218122,23:00,04:00
/deal/19480831,17:00,06:00
/deal/22084787,13:00,18:00
/deal/22084787,18:00,04:00
/deal/24520604,11:00,13:00
/deal/18523634,13:00,19:00
/deal/18523634,19:00,00:00
/deal/18523634,00:00,06:00
/deal/18511868,12:00,06:00
/deal/18511794,12:00,06:00
/deal/24403492,No timeFrom,No timeTo
/deal/20613967,13:00,18:00
/deal/20613967,18:00,03:00
/deal/25377759,13:00,18:00
/deal/18607755,12:00,06:00
/deal/19617519,13:00,06:00
/deal/22581856,No timeFrom,No timeTo
/deal/6292604,No timeFrom,No timeTo
/deal/18520181,12:00,06:00
/deal/25377808,13:00,18:00
/deal/23683670,12:00,19:00
/deal/22873549,13:00,04:00
/deal/22456940,No timeFrom,No timeTo
/deal/20613998,13:00,03:00
/deal/22873708,13:00,04:00
/deal/22873644,13:00,04:00
/deal/22457870,No timeFrom,No timeTo
/deal/22458083,No timeFrom,No timeTo
/deal/23683021,12:00,19:00
/deal/26895547,No timeFrom,No timeTo
/deal/27467922,12:00,18:00
/deal/27467922,18:00,00:00
/deal/27467922,00:00,08:00
/deal/26895205,No timeFrom,No timeTo
/deal/26694778,19:00,00:00
/deal/26694778,00:00,06:00
/deal/26694909,19:00,00:00
/deal/26694909,00:00,06:00
/deal/26694394,19:00,00:00
/deal/26694394,00:00,06:00
/deal/26602077,13:00,19:00
/deal/26602077,19:00,00:00
/deal/26602077,00:00,06:00
/deal/26694190,19:00,00:00
/deal/26694190,00:00,06:00
/deal/27467922,12:00,18:00
/deal/27467922,18:00,00:00
/deal/27467922,00:00,08:00
/deal/26895205,No timeFrom,No timeTo
/deal/26993014,17:00,21:00
/deal/26958962,No timeFrom,No timeTo
/deal/21744341,12:00,06:00
/deal/21745443,12:00,06:00
/deal/21745125,12:00,06:00
/deal/19303760,10:00,20:00
/deal/23592777,12:00,19:00
/deal/23592777,19:00,02:00
/deal/23592777,23:00,07:00
